Date,Harga
01/ 01/ 2021,"15,750"
04/ 01/ 2021,"15,750"
05/ 01/ 2021,"15,750"
06/ 01/ 2021,"15,700"
07/ 01/ 2021,"15,700"
08/ 01/ 2021,"15,750"
11/ 01/ 2021,"15,700"
12/ 01/ 2021,"15,750"
13/ 01/ 2021,"15,700"
14/ 01/ 2021,"15,750"
15/ 01/ 2021,"15,750"
18/ 01/ 2021,"15,650"
19/ 01/ 2021,"15,700"
20/ 01/ 2021,"15,700"
21/ 01/ 2021,"15,700"
22/ 01/ 2021,"15,700"
25/ 01/ 2021,"15,700"
26/ 01/ 2021,"15,700"
27/ 01/ 2021,"15,650"
28/ 01/ 2021,"15,650"
29/ 01/ 2021,"15,650"
01/ 02/ 2021,"15,650"
02/ 02/ 2021,"15,650"
03/ 02/ 2021,"15,650"
04/ 02/ 2021,"15,650"
05/ 02/ 2021,"15,650"
08/ 02/ 2021,"15,650"
09/ 02/ 2021,"15,650"
10/ 02/ 2021,"15,650"
11/ 02/ 2021,"15,650"
12/ 02/ 2021,"15,250"
15/ 02/ 2021,"15,650"
16/ 02/ 2021,"15,650"
17/ 02/ 2021,"15,650"
18/ 02/ 2021,"15,700"
19/ 02/ 2021,"15,650"
22/ 02/ 2021,"15,600"
23/ 02/ 2021,"15,600"
24/ 02/ 2021,"15,600"
25/ 02/ 2021,"15,600"
26/ 02/ 2021,"15,600"
01/ 03/ 2021,"15,600"
02/ 03/ 2021,"15,600"
03/ 03/ 2021,"15,600"
04/ 03/ 2021,"15,600"
05/ 03/ 2021,"15,600"
08/ 03/ 2021,"15,600"
09/ 03/ 2021,"15,600"
10/ 03/ 2021,"15,600"
11/ 03/ 2021,"15,750"
12/ 03/ 2021,"15,550"
15/ 03/ 2021,"15,600"
16/ 03/ 2021,"15,600"
17/ 03/ 2021,"15,600"
18/ 03/ 2021,"15,600"
19/ 03/ 2021,"15,600"
22/ 03/ 2021,"15,600"
23/ 03/ 2021,"15,700"
24/ 03/ 2021,"15,550"
25/ 03/ 2021,"15,550"
26/ 03/ 2021,"15,600"
29/ 03/ 2021,"15,600"
30/ 03/ 2021,"15,600"
31/ 03/ 2021,"15,550"
01/ 04/ 2021,"15,600"
02/ 04/ 2021,"13,450"
05/ 04/ 2021,"15,550"
06/ 04/ 2021,"15,550"
07/ 04/ 2021,"15,550"
08/ 04/ 2021,"15,550"
09/ 04/ 2021,"15,550"
12/ 04/ 2021,"15,550"
13/ 04/ 2021,"15,550"
14/ 04/ 2021,"15,550"
15/ 04/ 2021,"15,550"
16/ 04/ 2021,"15,550"
19/ 04/ 2021,"15,550"
20/ 04/ 2021,"15,550"
21/ 04/ 2021,"15,550"
22/ 04/ 2021,"15,550"
23/ 04/ 2021,"15,500"
26/ 04/ 2021,"15,550"
27/ 04/ 2021,"15,550"
28/ 04/ 2021,"15,500"
29/ 04/ 2021,"15,550"
30/ 04/ 2021,"15,550"
03/ 05/ 2021,"15,500"
04/ 05/ 2021,"15,500"
05/ 05/ 2021,"15,500"
06/ 05/ 2021,"15,500"
07/ 05/ 2021,"15,500"
10/ 05/ 2021,"15,450"
11/ 05/ 2021,"15,450"
12/ 05/ 2021,-
13/ 05/ 2021,-
14/ 05/ 2021,-
17/ 05/ 2021,"15,450"
18/ 05/ 2021,"15,450"
19/ 05/ 2021,"15,450"
20/ 05/ 2021,"15,450"
21/ 05/ 2021,"15,450"
24/ 05/ 2021,"15,450"
25/ 05/ 2021,"15,450"
26/ 05/ 2021,"18,000"
27/ 05/ 2021,"15,450"
28/ 05/ 2021,"15,450"
31/ 05/ 2021,"15,450"
01/ 06/ 2021,"16,600"
02/ 06/ 2021,"15,450"
03/ 06/ 2021,"15,500"
04/ 06/ 2021,"15,450"
07/ 06/ 2021,"15,500"
08/ 06/ 2021,"15,450"
09/ 06/ 2021,"15,500"
10/ 06/ 2021,"15,500"
11/ 06/ 2021,"15,500"
14/ 06/ 2021,"15,500"
15/ 06/ 2021,"15,500"
16/ 06/ 2021,"15,500"
17/ 06/ 2021,"15,450"
18/ 06/ 2021,"15,450"
21/ 06/ 2021,"15,450"
22/ 06/ 2021,"15,450"
23/ 06/ 2021,"15,450"
24/ 06/ 2021,"15,450"
25/ 06/ 2021,"15,450"
28/ 06/ 2021,"15,450"
29/ 06/ 2021,"15,450"
30/ 06/ 2021,"15,450"
01/ 07/ 2021,"15,450"
02/ 07/ 2021,"15,450"
05/ 07/ 2021,"15,400"
06/ 07/ 2021,"15,400"
07/ 07/ 2021,"15,400"
08/ 07/ 2021,"15,400"
09/ 07/ 2021,"15,400"
12/ 07/ 2021,"15,350"
13/ 07/ 2021,"15,350"
14/ 07/ 2021,"15,350"
15/ 07/ 2021,"15,350"
16/ 07/ 2021,"15,350"
19/ 07/ 2021,"15,350"
20/ 07/ 2021,"17,250"
21/ 07/ 2021,"15,400"
22/ 07/ 2021,"15,350"
23/ 07/ 2021,"15,350"
26/ 07/ 2021,"15,350"
27/ 07/ 2021,"15,350"
28/ 07/ 2021,"15,350"
29/ 07/ 2021,"15,350"
30/ 07/ 2021,"15,350"
02/ 08/ 2021,"15,350"
03/ 08/ 2021,"15,350"
04/ 08/ 2021,"15,350"
05/ 08/ 2021,"15,350"
06/ 08/ 2021,"15,350"
09/ 08/ 2021,"15,350"
10/ 08/ 2021,"15,300"
11/ 08/ 2021,"14,000"
12/ 08/ 2021,"15,300"
13/ 08/ 2021,"15,300"
16/ 08/ 2021,"15,300"
17/ 08/ 2021,"17,250"
18/ 08/ 2021,"15,300"
19/ 08/ 2021,"15,300"
20/ 08/ 2021,"15,300"
23/ 08/ 2021,"15,300"
24/ 08/ 2021,"15,300"
25/ 08/ 2021,"15,300"
26/ 08/ 2021,"15,250"
27/ 08/ 2021,"15,300"
30/ 08/ 2021,"15,250"
31/ 08/ 2021,"15,250"
01/ 09/ 2021,"15,300"
02/ 09/ 2021,"15,250"
03/ 09/ 2021,"15,250"
06/ 09/ 2021,"15,250"
07/ 09/ 2021,"15,300"
08/ 09/ 2021,"15,250"
09/ 09/ 2021,"15,250"
10/ 09/ 2021,"15,250"
13/ 09/ 2021,"15,250"
14/ 09/ 2021,"15,250"
15/ 09/ 2021,"15,250"
16/ 09/ 2021,"15,250"
17/ 09/ 2021,"15,250"
20/ 09/ 2021,"15,250"
21/ 09/ 2021,"15,250"
22/ 09/ 2021,"15,250"
23/ 09/ 2021,"15,250"
24/ 09/ 2021,"15,250"
27/ 09/ 2021,"15,250"
28/ 09/ 2021,"15,250"
29/ 09/ 2021,"15,250"
30/ 09/ 2021,"15,250"
01/ 10/ 2021,"15,250"
04/ 10/ 2021,"15,200"
05/ 10/ 2021,"15,200"
06/ 10/ 2021,"15,200"
07/ 10/ 2021,"15,250"
08/ 10/ 2021,"15,200"
11/ 10/ 2021,"15,200"
12/ 10/ 2021,"15,200"
13/ 10/ 2021,"15,200"
14/ 10/ 2021,"15,200"
15/ 10/ 2021,"15,200"
18/ 10/ 2021,"15,200"
19/ 10/ 2021,"15,200"
20/ 10/ 2021,"14,750"
21/ 10/ 2021,"15,200"
22/ 10/ 2021,"15,250"
25/ 10/ 2021,"15,250"
26/ 10/ 2021,"15,250"
27/ 10/ 2021,"15,250"
28/ 10/ 2021,"15,250"
29/ 10/ 2021,"15,250"
01/ 11/ 2021,"15,300"
02/ 11/ 2021,"15,300"
03/ 11/ 2021,"15,250"
04/ 11/ 2021,"15,250"
05/ 11/ 2021,"15,250"
08/ 11/ 2021,"15,250"
09/ 11/ 2021,"15,250"
10/ 11/ 2021,"15,300"
11/ 11/ 2021,"15,250"
12/ 11/ 2021,"15,250"
15/ 11/ 2021,"15,250"
16/ 11/ 2021,"15,250"
17/ 11/ 2021,"15,250"
18/ 11/ 2021,"15,250"
19/ 11/ 2021,"15,250"
22/ 11/ 2021,"15,250"
23/ 11/ 2021,"15,250"
24/ 11/ 2021,"15,250"
25/ 11/ 2021,"15,250"
26/ 11/ 2021,"15,250"
29/ 11/ 2021,"15,250"
30/ 11/ 2021,"15,250"
01/ 12/ 2021,"15,250"
02/ 12/ 2021,"15,250"
03/ 12/ 2021,"15,250"
06/ 12/ 2021,"15,250"
07/ 12/ 2021,"15,250"
08/ 12/ 2021,"15,250"
09/ 12/ 2021,"15,250"
10/ 12/ 2021,"15,250"
13/ 12/ 2021,"15,250"
14/ 12/ 2021,"15,250"
15/ 12/ 2021,"15,300"
16/ 12/ 2021,"15,300"
17/ 12/ 2021,"15,250"
20/ 12/ 2021,"15,350"
21/ 12/ 2021,"15,300"
22/ 12/ 2021,"15,300"
23/ 12/ 2021,"15,300"
24/ 12/ 2021,"15,350"
27/ 12/ 2021,"15,250"
28/ 12/ 2021,"15,250"
29/ 12/ 2021,"15,200"
30/ 12/ 2021,"15,200"
31/ 12/ 2021,"15,200"
03/ 01/ 2022,"15,250"
04/ 01/ 2022,"15,250"
05/ 01/ 2022,"15,250"
06/ 01/ 2022,"15,250"
07/ 01/ 2022,"15,250"
10/ 01/ 2022,"15,250"
11/ 01/ 2022,"15,300"
12/ 01/ 2022,"15,350"
13/ 01/ 2022,"15,350"
14/ 01/ 2022,"15,400"
17/ 01/ 2022,"15,400"
18/ 01/ 2022,"15,450"
19/ 01/ 2022,"15,450"
20/ 01/ 2022,"15,450"
21/ 01/ 2022,"15,500"
24/ 01/ 2022,"15,550"
25/ 01/ 2022,"15,500"
26/ 01/ 2022,"15,550"
27/ 01/ 2022,"15,550"
28/ 01/ 2022,"15,550"
31/ 01/ 2022,"15,500"
01/ 02/ 2022,"14,000"
02/ 02/ 2022,"15,550"
03/ 02/ 2022,"15,550"
04/ 02/ 2022,"15,550"
07/ 02/ 2022,"15,550"
08/ 02/ 2022,"15,550"
09/ 02/ 2022,"15,550"
10/ 02/ 2022,"15,550"
11/ 02/ 2022,"15,550"
14/ 02/ 2022,"15,600"
15/ 02/ 2022,"15,600"
16/ 02/ 2022,"15,550"
17/ 02/ 2022,"15,450"
18/ 02/ 2022,"15,500"
21/ 02/ 2022,"15,500"
22/ 02/ 2022,"15,450"
23/ 02/ 2022,"15,450"
24/ 02/ 2022,"15,450"
25/ 02/ 2022,"15,450"
28/ 02/ 2022,-
01/ 03/ 2022,"15,450"
02/ 03/ 2022,"15,450"
03/ 03/ 2022,-
04/ 03/ 2022,"15,450"
07/ 03/ 2022,"15,500"
08/ 03/ 2022,"15,450"
09/ 03/ 2022,"15,500"
10/ 03/ 2022,"15,500"
11/ 03/ 2022,"15,450"
14/ 03/ 2022,"15,500"
15/ 03/ 2022,"15,500"
16/ 03/ 2022,"15,450"
17/ 03/ 2022,"15,450"
18/ 03/ 2022,"15,550"
21/ 03/ 2022,"15,600"
22/ 03/ 2022,"15,600"
23/ 03/ 2022,"15,650"
24/ 03/ 2022,"15,650"
25/ 03/ 2022,"15,700"
28/ 03/ 2022,"15,750"
29/ 03/ 2022,"15,700"
30/ 03/ 2022,"15,800"
31/ 03/ 2022,"15,750"
01/ 04/ 2022,"15,700"
04/ 04/ 2022,"15,800"
05/ 04/ 2022,"15,800"
06/ 04/ 2022,"15,800"
07/ 04/ 2022,"15,800"
08/ 04/ 2022,"15,850"
11/ 04/ 2022,"15,850"
12/ 04/ 2022,"15,850"
13/ 04/ 2022,"15,900"
14/ 04/ 2022,"15,900"
15/ 04/ 2022,"15,000"
18/ 04/ 2022,"15,950"
19/ 04/ 2022,"15,950"
20/ 04/ 2022,"15,950"
21/ 04/ 2022,"15,950"
22/ 04/ 2022,"15,950"
25/ 04/ 2022,"16,000"
26/ 04/ 2022,"16,000"
27/ 04/ 2022,"16,000"
28/ 04/ 2022,"16,000"
29/ 04/ 2022,"16,000"
02/ 05/ 2022,-
03/ 05/ 2022,-
04/ 05/ 2022,"15,500"
05/ 05/ 2022,"16,750"
06/ 05/ 2022,"16,750"
09/ 05/ 2022,"16,000"
10/ 05/ 2022,"16,000"
11/ 05/ 2022,"16,000"
12/ 05/ 2022,"16,050"
13/ 05/ 2022,"16,050"
16/ 05/ 2022,"15,500"
17/ 05/ 2022,"16,100"
18/ 05/ 2022,"16,100"
19/ 05/ 2022,"16,100"
20/ 05/ 2022,"16,100"
23/ 05/ 2022,"16,100"
24/ 05/ 2022,"16,100"
25/ 05/ 2022,"16,100"
26/ 05/ 2022,-
27/ 05/ 2022,"16,100"
30/ 05/ 2022,"16,050"
31/ 05/ 2022,"16,050"
01/ 06/ 2022,-
02/ 06/ 2022,"16,050"
03/ 06/ 2022,"16,050"
06/ 06/ 2022,"16,050"
07/ 06/ 2022,"16,050"
08/ 06/ 2022,"16,050"
09/ 06/ 2022,"16,050"
10/ 06/ 2022,"16,100"
13/ 06/ 2022,"16,050"
14/ 06/ 2022,"16,050"
15/ 06/ 2022,"16,050"
16/ 06/ 2022,"16,100"
17/ 06/ 2022,"16,100"
20/ 06/ 2022,"16,050"
21/ 06/ 2022,"16,000"
22/ 06/ 2022,"16,050"
23/ 06/ 2022,"16,050"
24/ 06/ 2022,"16,050"
27/ 06/ 2022,"16,050"
28/ 06/ 2022,"16,050"
29/ 06/ 2022,"16,050"
30/ 06/ 2022,"16,000"
01/ 07/ 2022,"16,000"
04/ 07/ 2022,"16,000"
05/ 07/ 2022,"16,000"
06/ 07/ 2022,"16,000"
07/ 07/ 2022,"16,000"
08/ 07/ 2022,"16,000"
11/ 07/ 2022,"16,000"
12/ 07/ 2022,"16,000"
13/ 07/ 2022,"16,000"
14/ 07/ 2022,"16,000"
15/ 07/ 2022,"16,000"
18/ 07/ 2022,"16,000"
19/ 07/ 2022,"15,950"
20/ 07/ 2022,"15,950"
21/ 07/ 2022,"15,950"
22/ 07/ 2022,"15,950"
25/ 07/ 2022,"15,950"
26/ 07/ 2022,"15,950"
27/ 07/ 2022,"15,950"
28/ 07/ 2022,"15,950"
29/ 07/ 2022,"15,950"
01/ 08/ 2022,"15,950"
02/ 08/ 2022,"15,950"
03/ 08/ 2022,"15,950"
04/ 08/ 2022,"15,950"
05/ 08/ 2022,"16,000"
08/ 08/ 2022,"15,950"
09/ 08/ 2022,"15,950"
10/ 08/ 2022,"15,950"
11/ 08/ 2022,"15,950"
12/ 08/ 2022,"15,950"
15/ 08/ 2022,"15,950"
16/ 08/ 2022,"15,950"
17/ 08/ 2022,"16,700"
18/ 08/ 2022,"15,950"
19/ 08/ 2022,"15,950"
22/ 08/ 2022,"15,950"
23/ 08/ 2022,"15,900"
24/ 08/ 2022,"15,900"
25/ 08/ 2022,"15,900"
26/ 08/ 2022,"15,900"
29/ 08/ 2022,"15,900"
30/ 08/ 2022,"15,850"
31/ 08/ 2022,"15,900"
01/ 09/ 2022,"15,850"
02/ 09/ 2022,"15,850"
05/ 09/ 2022,"15,850"
06/ 09/ 2022,"15,850"
07/ 09/ 2022,"15,850"
08/ 09/ 2022,"15,850"
09/ 09/ 2022,"15,850"
12/ 09/ 2022,"15,850"
13/ 09/ 2022,"15,850"
14/ 09/ 2022,"15,850"
15/ 09/ 2022,"15,850"
16/ 09/ 2022,"15,850"
19/ 09/ 2022,"15,850"
20/ 09/ 2022,"15,800"
21/ 09/ 2022,"15,850"
22/ 09/ 2022,"15,850"
23/ 09/ 2022,"15,850"
26/ 09/ 2022,"15,850"
27/ 09/ 2022,"15,900"
28/ 09/ 2022,"15,850"
29/ 09/ 2022,"15,850"
30/ 09/ 2022,"15,850"
03/ 10/ 2022,"15,850"
04/ 10/ 2022,"15,900"
05/ 10/ 2022,"15,900"
06/ 10/ 2022,"15,900"
07/ 10/ 2022,"15,850"
10/ 10/ 2022,"15,850"
11/ 10/ 2022,"15,850"
12/ 10/ 2022,"15,850"
13/ 10/ 2022,"15,850"
14/ 10/ 2022,"15,850"
17/ 10/ 2022,"15,900"
18/ 10/ 2022,"15,900"
19/ 10/ 2022,"15,900"
20/ 10/ 2022,"15,900"
21/ 10/ 2022,"15,900"
24/ 10/ 2022,"15,900"
25/ 10/ 2022,"15,900"
26/ 10/ 2022,"15,900"
27/ 10/ 2022,"15,900"
28/ 10/ 2022,"15,900"
31/ 10/ 2022,"15,900"
01/ 11/ 2022,"15,900"
02/ 11/ 2022,"15,900"
03/ 11/ 2022,"15,900"
04/ 11/ 2022,"15,900"
07/ 11/ 2022,"15,900"
08/ 11/ 2022,"15,900"
09/ 11/ 2022,"15,900"
10/ 11/ 2022,"15,900"
11/ 11/ 2022,"15,900"
14/ 11/ 2022,"15,900"
15/ 11/ 2022,"15,900"
16/ 11/ 2022,"15,900"
17/ 11/ 2022,"15,900"
18/ 11/ 2022,"15,900"
21/ 11/ 2022,"15,900"
22/ 11/ 2022,"15,900"
23/ 11/ 2022,"15,900"
