Date,Harga
24/ 11/ 2022,"15,850"
25/ 11/ 2022,"15,900"
28/ 11/ 2022,"15,900"
29/ 11/ 2022,"15,850"
30/ 11/ 2022,"15,850"
01/ 12/ 2022,"15,850"
02/ 12/ 2022,"15,850"
05/ 12/ 2022,"15,900"
06/ 12/ 2022,"15,850"
07/ 12/ 2022,"15,900"
08/ 12/ 2022,"15,900"
09/ 12/ 2022,"15,900"
12/ 12/ 2022,"15,900"
13/ 12/ 2022,"15,900"
14/ 12/ 2022,"15,900"
15/ 12/ 2022,"15,900"
16/ 12/ 2022,"15,900"
19/ 12/ 2022,"15,900"
20/ 12/ 2022,"15,900"
21/ 12/ 2022,"15,900"
22/ 12/ 2022,"15,900"
23/ 12/ 2022,"15,900"
26/ 12/ 2022,"15,900"
27/ 12/ 2022,"15,900"
28/ 12/ 2022,"15,900"
29/ 12/ 2022,"15,900"
30/ 12/ 2022,"15,800"
02/ 01/ 2023,"15,900"
03/ 01/ 2023,"15,850"
04/ 01/ 2023,"15,850"
05/ 01/ 2023,"15,900"
06/ 01/ 2023,"15,900"
09/ 01/ 2023,"15,850"
10/ 01/ 2023,"15,800"
11/ 01/ 2023,"15,800"
12/ 01/ 2023,"15,800"
13/ 01/ 2023,"15,800"
16/ 01/ 2023,"15,850"
17/ 01/ 2023,"15,850"
18/ 01/ 2023,"15,850"
19/ 01/ 2023,"15,850"
20/ 01/ 2023,"15,850"
23/ 01/ 2023,"15,800"
24/ 01/ 2023,"15,850"
25/ 01/ 2023,"15,850"
26/ 01/ 2023,"15,850"
27/ 01/ 2023,"15,850"
30/ 01/ 2023,"15,850"
31/ 01/ 2023,"15,850"
01/ 02/ 2023,"15,850"
02/ 02/ 2023,"15,850"
03/ 02/ 2023,"15,850"
06/ 02/ 2023,"15,850"
07/ 02/ 2023,"15,850"
08/ 02/ 2023,"15,850"
09/ 02/ 2023,"15,850"
10/ 02/ 2023,"15,850"
13/ 02/ 2023,"15,850"
14/ 02/ 2023,"15,850"
15/ 02/ 2023,"15,850"
16/ 02/ 2023,"15,850"
17/ 02/ 2023,"15,850"
20/ 02/ 2023,"15,850"
21/ 02/ 2023,"15,850"
22/ 02/ 2023,"15,850"
23/ 02/ 2023,"15,850"
24/ 02/ 2023,"15,850"
27/ 02/ 2023,"15,850"
28/ 02/ 2023,"15,850"
01/ 03/ 2023,"15,850"
02/ 03/ 2023,"15,850"
03/ 03/ 2023,"15,850"
06/ 03/ 2023,"15,900"
07/ 03/ 2023,"15,900"
08/ 03/ 2023,"15,850"
09/ 03/ 2023,"15,850"
10/ 03/ 2023,"15,850"
13/ 03/ 2023,"15,900"
14/ 03/ 2023,"15,850"
15/ 03/ 2023,"15,850"
16/ 03/ 2023,"15,850"
17/ 03/ 2023,"15,850"
20/ 03/ 2023,"15,850"
21/ 03/ 2023,"15,850"
22/ 03/ 2023,"15,800"
23/ 03/ 2023,"15,800"
24/ 03/ 2023,"15,850"
27/ 03/ 2023,"15,900"
28/ 03/ 2023,"15,900"
29/ 03/ 2023,"15,900"
30/ 03/ 2023,"15,900"
31/ 03/ 2023,"15,900"
03/ 04/ 2023,"15,900"
04/ 04/ 2023,"15,900"
05/ 04/ 2023,"15,900"
06/ 04/ 2023,"15,900"
07/ 04/ 2023,"16,000"
10/ 04/ 2023,"15,900"
11/ 04/ 2023,"15,900"
12/ 04/ 2023,"15,900"
13/ 04/ 2023,"15,950"
14/ 04/ 2023,"15,900"
17/ 04/ 2023,"15,900"
18/ 04/ 2023,"15,950"
19/ 04/ 2023,"16,000"
20/ 04/ 2023,"16,000"
21/ 04/ 2023,"16,050"
24/ 04/ 2023,"16,000"
25/ 04/ 2023,"16,000"
26/ 04/ 2023,"15,950"
27/ 04/ 2023,"15,950"
28/ 04/ 2023,"15,950"
01/ 05/ 2023,"16,000"
02/ 05/ 2023,"15,900"
03/ 05/ 2023,"15,900"
04/ 05/ 2023,"15,950"
05/ 05/ 2023,"15,950"
08/ 05/ 2023,"15,850"
09/ 05/ 2023,"15,950"
10/ 05/ 2023,"15,950"
11/ 05/ 2023,"15,950"
12/ 05/ 2023,"15,950"
15/ 05/ 2023,"15,950"
16/ 05/ 2023,"15,950"
17/ 05/ 2023,"15,950"
18/ 05/ 2023,"15,950"
19/ 05/ 2023,"15,950"
22/ 05/ 2023,"16,000"
23/ 05/ 2023,"16,000"
24/ 05/ 2023,"16,000"
25/ 05/ 2023,"16,000"
26/ 05/ 2023,"16,000"
29/ 05/ 2023,"16,000"
30/ 05/ 2023,"16,000"
31/ 05/ 2023,"16,000"
01/ 06/ 2023,"16,050"
02/ 06/ 2023,"16,050"
05/ 06/ 2023,"16,000"
06/ 06/ 2023,"16,000"
07/ 06/ 2023,"16,050"
08/ 06/ 2023,"16,050"
09/ 06/ 2023,"16,050"
12/ 06/ 2023,"16,050"
13/ 06/ 2023,"16,050"
14/ 06/ 2023,"16,050"
15/ 06/ 2023,"16,050"
16/ 06/ 2023,"16,050"
19/ 06/ 2023,"16,050"
20/ 06/ 2023,"16,050"
21/ 06/ 2023,"16,050"
22/ 06/ 2023,"16,050"
23/ 06/ 2023,"16,050"
26/ 06/ 2023,"16,050"
27/ 06/ 2023,"16,050"
28/ 06/ 2023,"16,100"
29/ 06/ 2023,"16,150"
30/ 06/ 2023,"16,100"
03/ 07/ 2023,"16,050"
04/ 07/ 2023,"16,050"
05/ 07/ 2023,"16,050"
06/ 07/ 2023,"16,050"
07/ 07/ 2023,"16,050"
10/ 07/ 2023,"16,050"
11/ 07/ 2023,"16,050"
12/ 07/ 2023,"16,100"
13/ 07/ 2023,"16,100"
14/ 07/ 2023,"16,100"
17/ 07/ 2023,"16,100"
18/ 07/ 2023,"16,050"
19/ 07/ 2023,"16,200"
20/ 07/ 2023,"16,100"
21/ 07/ 2023,"16,100"
24/ 07/ 2023,"16,100"
25/ 07/ 2023,"16,100"
26/ 07/ 2023,"16,100"
27/ 07/ 2023,"16,100"
28/ 07/ 2023,"16,100"
31/ 07/ 2023,"16,100"
01/ 08/ 2023,"16,100"
02/ 08/ 2023,"16,100"
03/ 08/ 2023,"16,100"
04/ 08/ 2023,"16,100"
07/ 08/ 2023,"16,100"
08/ 08/ 2023,"16,100"
09/ 08/ 2023,"16,150"
10/ 08/ 2023,"16,150"
11/ 08/ 2023,"16,150"
14/ 08/ 2023,"16,150"
15/ 08/ 2023,"16,150"
16/ 08/ 2023,"16,150"
17/ 08/ 2023,"16,100"
18/ 08/ 2023,"16,150"
21/ 08/ 2023,"16,150"
22/ 08/ 2023,"16,150"
23/ 08/ 2023,"16,150"
24/ 08/ 2023,"16,150"
25/ 08/ 2023,"16,150"
28/ 08/ 2023,"16,150"
29/ 08/ 2023,"16,150"
30/ 08/ 2023,"16,150"
31/ 08/ 2023,"16,150"
01/ 09/ 2023,"16,150"
04/ 09/ 2023,"16,150"
05/ 09/ 2023,"16,150"
06/ 09/ 2023,"16,150"
07/ 09/ 2023,"16,150"
08/ 09/ 2023,"16,150"
11/ 09/ 2023,"16,150"
12/ 09/ 2023,"16,150"
13/ 09/ 2023,"16,200"
14/ 09/ 2023,"16,200"
15/ 09/ 2023,"16,200"
18/ 09/ 2023,"16,250"
19/ 09/ 2023,"16,250"
20/ 09/ 2023,"16,250"
21/ 09/ 2023,"16,300"
22/ 09/ 2023,"16,300"
25/ 09/ 2023,"16,400"
26/ 09/ 2023,"16,400"
27/ 09/ 2023,"16,400"
28/ 09/ 2023,"16,350"
29/ 09/ 2023,"16,400"
02/ 10/ 2023,"16,450"
03/ 10/ 2023,"16,450"
04/ 10/ 2023,"16,450"
05/ 10/ 2023,"16,500"
06/ 10/ 2023,"16,500"
09/ 10/ 2023,"16,500"
10/ 10/ 2023,"16,500"
11/ 10/ 2023,"16,500"
12/ 10/ 2023,"16,500"
13/ 10/ 2023,"16,500"
16/ 10/ 2023,"16,500"
17/ 10/ 2023,"16,500"
18/ 10/ 2023,"16,550"
19/ 10/ 2023,"16,550"
20/ 10/ 2023,"16,550"
23/ 10/ 2023,"16,600"
24/ 10/ 2023,"16,650"
25/ 10/ 2023,"16,650"
26/ 10/ 2023,"16,650"
27/ 10/ 2023,"16,650"
30/ 10/ 2023,"16,700"
31/ 10/ 2023,"16,750"
01/ 11/ 2023,"16,750"
02/ 11/ 2023,"16,800"
03/ 11/ 2023,"16,850"
06/ 11/ 2023,"16,850"
07/ 11/ 2023,"16,850"
08/ 11/ 2023,"16,850"
09/ 11/ 2023,"16,900"
10/ 11/ 2023,"16,900"
13/ 11/ 2023,"17,000"
14/ 11/ 2023,"17,050"
15/ 11/ 2023,"17,100"
16/ 11/ 2023,"17,150"
17/ 11/ 2023,"17,150"
20/ 11/ 2023,"17,300"
21/ 11/ 2023,"17,400"
22/ 11/ 2023,"17,450"
23/ 11/ 2023,"17,500"
24/ 11/ 2023,"17,500"
27/ 11/ 2023,"17,550"
28/ 11/ 2023,"17,600"
29/ 11/ 2023,"17,650"
30/ 11/ 2023,"17,600"
01/ 12/ 2023,"17,650"
04/ 12/ 2023,"17,650"
05/ 12/ 2023,"17,750"
06/ 12/ 2023,"17,750"
07/ 12/ 2023,"17,850"
08/ 12/ 2023,"17,850"
11/ 12/ 2023,"17,850"
12/ 12/ 2023,"17,850"
13/ 12/ 2023,"17,900"
14/ 12/ 2023,"17,850"
15/ 12/ 2023,"17,900"
18/ 12/ 2023,"17,900"
19/ 12/ 2023,"17,900"
20/ 12/ 2023,"17,900"
21/ 12/ 2023,"18,000"
22/ 12/ 2023,"18,000"
25/ 12/ 2023,"17,650"
26/ 12/ 2023,"17,650"
27/ 12/ 2023,"18,000"
28/ 12/ 2023,"18,000"
29/ 12/ 2023,"18,000"
01/ 01/ 2024,"18,000"
02/ 01/ 2024,"18,000"
03/ 01/ 2024,"18,000"
04/ 01/ 2024,"18,000"
05/ 01/ 2024,"18,000"
08/ 01/ 2024,"18,050"
09/ 01/ 2024,"18,050"
10/ 01/ 2024,"18,050"
11/ 01/ 2024,"18,100"
12/ 01/ 2024,"18,100"
15/ 01/ 2024,"18,100"
16/ 01/ 2024,"18,100"
17/ 01/ 2024,"18,100"
18/ 01/ 2024,"18,100"
19/ 01/ 2024,"18,100"
22/ 01/ 2024,"18,100"
23/ 01/ 2024,"18,100"
24/ 01/ 2024,"18,150"
25/ 01/ 2024,"18,150"
26/ 01/ 2024,"18,150"
29/ 01/ 2024,"18,200"
30/ 01/ 2024,"18,150"
31/ 01/ 2024,"18,150"
01/ 02/ 2024,"18,150"
02/ 02/ 2024,"18,150"
05/ 02/ 2024,"18,200"
06/ 02/ 2024,"18,200"
07/ 02/ 2024,"18,150"
08/ 02/ 2024,"18,200"
09/ 02/ 2024,"18,200"
12/ 02/ 2024,"18,200"
13/ 02/ 2024,"18,250"
14/ 02/ 2024,"18,200"
15/ 02/ 2024,"18,250"
16/ 02/ 2024,"18,250"
19/ 02/ 2024,"18,250"
20/ 02/ 2024,"18,300"
21/ 02/ 2024,"18,250"
22/ 02/ 2024,"18,250"
23/ 02/ 2024,"18,300"
26/ 02/ 2024,"18,300"
27/ 02/ 2024,"18,300"
28/ 02/ 2024,"18,300"
29/ 02/ 2024,"18,300"
01/ 03/ 2024,"18,400"
04/ 03/ 2024,"18,400"
05/ 03/ 2024,"18,450"
06/ 03/ 2024,"18,450"
07/ 03/ 2024,"18,450"
08/ 03/ 2024,"18,450"
11/ 03/ 2024,"18,450"
12/ 03/ 2024,"18,450"
13/ 03/ 2024,"18,500"
14/ 03/ 2024,"18,500"
15/ 03/ 2024,"18,550"
18/ 03/ 2024,"18,550"
19/ 03/ 2024,"18,550"
20/ 03/ 2024,"18,550"
21/ 03/ 2024,"18,600"
22/ 03/ 2024,"18,600"
25/ 03/ 2024,"18,600"
26/ 03/ 2024,"18,600"
27/ 03/ 2024,"18,650"
28/ 03/ 2024,"18,650"
29/ 03/ 2024,"18,600"
01/ 04/ 2024,"18,700"
02/ 04/ 2024,"18,700"
03/ 04/ 2024,"18,700"
04/ 04/ 2024,"18,700"
05/ 04/ 2024,"18,750"
08/ 04/ 2024,"18,700"
09/ 04/ 2024,"18,700"
10/ 04/ 2024,"18,700"
11/ 04/ 2024,"18,700"
12/ 04/ 2024,"18,700"
15/ 04/ 2024,"18,700"
16/ 04/ 2024,"18,750"
17/ 04/ 2024,"18,750"
18/ 04/ 2024,"18,800"
19/ 04/ 2024,"18,850"
22/ 04/ 2024,"18,900"
23/ 04/ 2024,"18,950"
24/ 04/ 2024,"18,950"
25/ 04/ 2024,"19,000"
26/ 04/ 2024,"19,000"
29/ 04/ 2024,"19,100"
30/ 04/ 2024,"19,100"
01/ 05/ 2024,"19,000"
02/ 05/ 2024,"19,150"
03/ 05/ 2024,"19,150"
06/ 05/ 2024,"19,200"
07/ 05/ 2024,"19,200"
08/ 05/ 2024,"19,200"
09/ 05/ 2024,"19,200"
10/ 05/ 2024,"19,200"
13/ 05/ 2024,"19,200"
14/ 05/ 2024,"19,250"
15/ 05/ 2024,"19,250"
16/ 05/ 2024,"19,250"
17/ 05/ 2024,"19,250"
20/ 05/ 2024,"19,250"
21/ 05/ 2024,"19,250"
22/ 05/ 2024,"19,250"
23/ 05/ 2024,"19,250"
24/ 05/ 2024,"19,250"
27/ 05/ 2024,"19,250"
28/ 05/ 2024,"19,250"
29/ 05/ 2024,"19,250"
30/ 05/ 2024,"19,250"
31/ 05/ 2024,"19,250"
03/ 06/ 2024,"19,250"
04/ 06/ 2024,"19,200"
05/ 06/ 2024,"19,300"
06/ 06/ 2024,"19,250"
07/ 06/ 2024,"19,200"
10/ 06/ 2024,"19,200"
11/ 06/ 2024,"19,200"
12/ 06/ 2024,"19,200"
13/ 06/ 2024,"19,150"
14/ 06/ 2024,"19,150"
17/ 06/ 2024,"19,250"
18/ 06/ 2024,"19,250"
19/ 06/ 2024,"19,200"
20/ 06/ 2024,"19,200"
21/ 06/ 2024,"19,150"
24/ 06/ 2024,"19,150"
25/ 06/ 2024,"19,150"
26/ 06/ 2024,"19,150"
27/ 06/ 2024,"19,150"
28/ 06/ 2024,"19,150"
01/ 07/ 2024,"19,150"
02/ 07/ 2024,"19,150"
03/ 07/ 2024,"19,150"
04/ 07/ 2024,"19,150"
05/ 07/ 2024,"19,150"
08/ 07/ 2024,"19,200"
09/ 07/ 2024,"19,200"
10/ 07/ 2024,"19,200"
11/ 07/ 2024,"19,200"
12/ 07/ 2024,"19,200"
15/ 07/ 2024,"19,200"
16/ 07/ 2024,"19,200"
17/ 07/ 2024,"19,200"
18/ 07/ 2024,"19,200"
19/ 07/ 2024,"19,200"
22/ 07/ 2024,"19,200"
23/ 07/ 2024,"19,150"
24/ 07/ 2024,"19,200"
25/ 07/ 2024,"19,200"
26/ 07/ 2024,"19,200"
29/ 07/ 2024,"19,200"
30/ 07/ 2024,"19,200"
31/ 07/ 2024,"19,200"
01/ 08/ 2024,"19,200"
02/ 08/ 2024,"19,200"
05/ 08/ 2024,"19,200"
06/ 08/ 2024,"19,200"
07/ 08/ 2024,"19,150"
08/ 08/ 2024,"19,200"
09/ 08/ 2024,"19,150"
12/ 08/ 2024,"19,200"
13/ 08/ 2024,"19,200"
14/ 08/ 2024,"19,200"
15/ 08/ 2024,"19,200"
16/ 08/ 2024,"19,200"
19/ 08/ 2024,"19,200"
20/ 08/ 2024,"19,200"
21/ 08/ 2024,"19,200"
22/ 08/ 2024,"19,150"
23/ 08/ 2024,"19,200"
26/ 08/ 2024,"19,200"
27/ 08/ 2024,"19,200"
28/ 08/ 2024,"19,250"
29/ 08/ 2024,"19,200"
30/ 08/ 2024,"19,200"
02/ 09/ 2024,"19,200"
03/ 09/ 2024,"19,200"
04/ 09/ 2024,"19,200"
05/ 09/ 2024,"19,200"
06/ 09/ 2024,"19,200"
09/ 09/ 2024,"19,200"
10/ 09/ 2024,"19,200"
11/ 09/ 2024,"19,200"
12/ 09/ 2024,"19,250"
13/ 09/ 2024,"19,250"
16/ 09/ 2024,"19,150"
17/ 09/ 2024,"19,200"
18/ 09/ 2024,"19,200"
19/ 09/ 2024,"19,200"
20/ 09/ 2024,"19,200"
23/ 09/ 2024,"19,250"
24/ 09/ 2024,"19,200"
25/ 09/ 2024,"19,250"
26/ 09/ 2024,"19,250"
27/ 09/ 2024,"19,250"
30/ 09/ 2024,"19,250"
01/ 10/ 2024,"19,250"
02/ 10/ 2024,"19,250"
03/ 10/ 2024,"19,250"
04/ 10/ 2024,"19,250"
07/ 10/ 2024,"19,250"
08/ 10/ 2024,"19,250"
09/ 10/ 2024,"19,250"
10/ 10/ 2024,"19,150"
11/ 10/ 2024,"19,250"
